date,incoming_energy,solar_production,incoming_gas
01/08/2022,1115.00,592.658,66.642,
02/08/2022,1374.00,375.702,77.749,
03/08/2022,1434.00,231.114,77.749,
04/08/2022,1112.00,506.931,77.749,
05/08/2022,1033.00,608.885,166.605,
06/08/2022,824.00,690.529,66.642,
07/08/2022,878.00,671.906,77.749,
08/08/2022,1094.00,665.434,66.642,
09/08/2022,1096.00,658.926,77.749,
10/08/2022,1101.00,653.831,77.749,
11/08/2022,1232.00,638.627,77.749,
12/08/2022,1243.00,624.81,66.642,
13/08/2022,1043.00,613.862,77.749,
14/08/2022,1143.00,531.206,66.642,
15/08/2022,1502.00,371.108,77.749,
16/08/2022,1665.00,165.565,77.749,
17/08/2022,1473.00,239.176,77.749,
18/08/2022,1563.00,495.178,77.749,
19/08/2022,1522.00,421.506,88.856,
20/08/2022,1094.00,548.783,66.642,
21/08/2022,1054.00,382.021,77.749,
22/08/2022,1433.00,166.01,77.749,
23/08/2022,1353.00,329.536,77.749,
24/08/2022,1265.00,450.371,77.749,
25/08/2022,1421.00,232.623,77.749,
26/08/2022,1016.00,599.015,133.284,
27/08/2022,1001.00,424.282,66.642,
28/08/2022,953.00,436.18,77.749,
29/08/2022,1110.00,436.026,66.642,
30/08/2022,1173.00,449.351,144.391,
31/08/2022,1235.00,429.514,77.749,
01/09/2022,1415.00,227.583,77.749,
02/09/2022,1279.00,313.379,66.642,
03/09/2022,941.00,308.752,77.749,
04/09/2022,996.00,292.416,66.642,
05/09/2022,1253.00,252.138,77.749,
06/09/2022,1250.00,226.585,66.642,
07/09/2022,1169.00,328.789,88.856,
08/09/2022,1218.00,252.455,77.749,
09/09/2022,1138.00,235.182,77.749,
10/09/2022,903.00,328.733,77.749,
11/09/2022,801.00,483.919,66.642,
12/09/2022,1227.00,333.673,77.749,
13/09/2022,1386.00,98.48,88.856,
14/09/2022,1208.00,283.688,77.749,
15/09/2022,1181.00,317.811,244.354,
16/09/2022,1066.00,446.366,344.317,
17/09/2022,789.00,456.922,188.819,
18/09/2022,827.00,429.584,144.391,
19/09/2022,1031.00,317.119,299.889,
20/09/2022,1204.00,393.578,199.926,
21/09/2022,1112.00,486.359,199.926,
22/09/2022,1257.00,381.353,211.033,
23/09/2022,1235.00,261.95,77.749,
24/09/2022,903.00,405.592,211.033,
25/09/2022,882.00,406.973,188.819,
26/09/2022,1611.00,249.916,410.959,
27/09/2022,1721.00,188.955,710.848,
28/09/2022,1336.00,309.622,577.564,
29/09/2022,1382.00,310.576,655.313,
30/09/2022,1562.00,121.798,633.099,
01/10/2022,989,335.183,77.749,
02/10/2022,1006,300.155,244.354,
03/10/2022,1621,292.955,244.354,
04/10/2022,1816,125.623,88.856,
05/10/2022,1808,123.584,199.926,
06/10/2022,1644,338.933,266.568,
07/10/2022,1557,261.546,188.819,
08/10/2022,968,400.451,233.247,
09/10/2022,1029,366.277,77.749,
10/10/2022,1539,368.616,577.564,
11/10/2022,1584,367.739,610.885,
12/10/2022,1522,271.016,388.745,
13/10/2022,1684,214.17,344.317,
14/10/2022,1630,84.288,111.07,
15/10/2022,1112,195.427,333.21,
16/10/2022,1156,164.104,188.819,
17/10/2022,1601,300.75,88.856,
18/10/2022,1752,220.544,355.424,
19/10/2022,1572,209.186,99.963,
20/10/2022,1796,170.218,410.959,
21/10/2022,1903,82.617,133.284,
22/10/2022,1469,155.708,499.815,
23/10/2022,1537,176.039,655.313,
24/10/2022,2063,191.265,921.881,
25/10/2022,2093,192.613,610.885,
26/10/2022,1851,127.42,111.07,
27/10/2022,2030,190.004,133.284,
28/10/2022,1833,214.332,444.28,
29/10/2022,1710,105.73,122.177,
30/10/2022,1620,101.606,111.07,
31/10/2022,2009,113.115,810.811,
01/11/2022,2239,151.654,1632.729,
02/11/2022,2023,142.222,1577.194,
03/11/2022,2311,92.511,1699.371,
04/11/2022,1937,238.08,1921.511,
05/11/2022,1768,37.408,1477.231,
06/11/2022,1801,77.406,1399.482,
07/11/2022,1943,40.698,1199.556,
08/11/2022,1920,138.433,1443.91,
09/11/2022,1690,198.522,1310.626,
10/11/2022,1926,66.941,1088.486,
11/11/2022,1764,115.575,588.671,
12/11/2022,1536,168.901,522.029,
13/11/2022,1424,174.134,333.21,
14/11/2022,1985,66.488,777.49,
15/11/2022,2063,83.818,1577.194,
16/11/2022,1878,75.567,1710.478,
17/11/2022,1848,180.744,1843.762,
18/11/2022,1860,139.3,1821.548,
19/11/2022,1633,177.4,1854.869,
20/11/2022,1507,161.489,1632.729,
21/11/2022,2100,22.158,2176.972,
22/11/2022,2218,135.764,2521.289,
23/11/2022,2001,147.672,2176.972,
24/11/2022,2163,63.669,2154.758,
25/11/2022,1982,162.719,2110.33,
26/11/2022,1820,61.742,1921.511,
27/11/2022,1890,15.462,1766.013,
28/11/2022,2203,109.126,2432.433,
29/11/2022,2189,3.881,3098.853,
30/11/2022,2039,23.203,2987.783,
01/12/2022,2170,26.937,3820.808,
02/12/2022,2108,41.806,4176.232,
03/12/2022,1873,31.991,3865.236,
04/12/2022,1984,10.437,4031.841,
05/12/2022,2458,32.912,3898.557,
06/12/2022,2347,64.683,3909.664,
07/12/2022,2173,125.714,4165.125,
08/12/2022,2321,147.827,4676.047,
09/12/2022,2105,95.805,4642.726,
10/12/2022,1883,137.039,4209.553,
11/12/2022,1811,7.2,4387.265,
12/12/2022,2232,19.431,5009.257,
13/12/2022,2337,53.662,4742.689,
14/12/2022,2190,76.221,4753.796,
15/12/2022,2043,139.016,4709.368,
16/12/2022,1986,134.168,4298.409,
17/12/2022,1627,92.735,3865.236,
18/12/2022,1737,2.347,3354.314,
19/12/2022,1844,2.272,2465.754,
20/12/2022,1768,105.942,2754.536,
21/12/2022,1819,39.283,2676.787,
22/12/2022,1748,11.989,2510.182,
23/12/2022,1577,64.677,2310.256,
24/12/2022,1138,34.92,1177.342,
25/12/2022,893,42.035,111.07,
26/12/2022,825,112.556,111.07,
27/12/2022,851,73.705,122.177,
28/12/2022,915,7.236,122.177,
29/12/2022,832,89.809,122.177,
30/12/2022,899,20.882,122.177,
31/12/2022,1612,3.125,3054.425,
01/01/2023,1541,35.144,2887.82,
02/01/2023,1478,135.181,3320.993,
03/01/2023,1973,5.271,2854.499,
04/01/2023,2033,34.951,2699.001,
05/01/2023,2131,21.525,2887.82,
06/01/2023,2273,68.104,3098.853,
07/01/2023,2132,23.521,3054.425,
08/01/2023,2169,30.117,3487.598,
09/01/2023,2246,100.797,3631.989,
10/01/2023,2473,6.565,3043.318,
11/01/2023,2289,80.315,3354.314,
12/01/2023,2537,3.136,3198.816,
13/01/2023,2350,135.909,3520.919,
14/01/2023,2215,28.753,3243.244,
15/01/2023,2177,122.481,3787.487,
16/01/2023,2346,129.35,4398.372,
17/01/2023,2369,55.802,4998.15,
18/01/2023,2346,135.048,4587.191,
19/01/2023,2385,160.304,4409.479,
20/01/2023,2146,189.943,4276.195,
21/01/2023,1815,174.272,4065.162,
22/01/2023,1968,101.571,4154.018,
23/01/2023,2067,164.563,4442.8,
24/01/2023,2149,66.29,4209.553,
25/01/2023,2177,20.015,4242.874,
26/01/2023,1981,178.377,3831.915,
27/01/2023,1986,146.02,3898.557,
28/01/2023,1800,85.673,2376.898,
29/01/2023,1735,122.087,0,
30/01/2023,2055,147.541,2832.285,
31/01/2023,2106,128.199,3609.775,
01/02/2023,1922.00,158.598,3432.063,
02/02/2023,2124.00,130.546,2976.676,
03/02/2023,1978.00,155.633,2710.108,
04/02/2023,1773.00,39.509,2776.75,
05/02/2023,1627.00,210.251,3132.174,
06/02/2023,2031.00,251.412,3698.631,
07/02/2023,2088.00,237.315,3809.701,
08/02/2023,2025.00,248.998,4031.841,
09/02/2023,2110.00,123.877,3487.598,
10/02/2023,1850.00,241.073,3209.923,
11/02/2023,1662.00,113.146,2321.363,
12/02/2023,1788.00,53.498,2476.861,
13/02/2023,2102.00,155.682,2832.285,
14/02/2023,2066.00,223.39,2676.787,
15/02/2023,1952.00,247.863,2499.075,
16/02/2023,2184.00,31.673,2310.256,
17/02/2023,2087.00,127.912,2077.009,
18/02/2023,1777.00,77.374,2077.009,
19/02/2023,1644.00,301.778,2276.935,
20/02/2023,2202.00,121.36,2565.717,
21/02/2023,2269.00,100.344,2710.108,
22/02/2023,2065.00,136.872,2710.108,
23/02/2023,2186.00,81.997,2965.569,
24/02/2023,2129.00,104.267,3121.067,
25/02/2023,1781.00,131.067,3065.532,
26/02/2023,1698.00,277.522,3198.816,
27/02/2023,1918.00,273.773,3121.067,
28/02/2023,1973.00,225.799,3032.211,
01/03/2023,1115.00,90.009,2954.462,
02/03/2023,1374.00,355.012,2932.248,
03/03/2023,1434.00,270.276,2965.569,
04/03/2023,1112.00,74.572,2887.82,
05/03/2023,1033.00,166.036,3065.532,
06/03/2023,824.00,141.577,3032.211,
07/03/2023,878.00,143.64,2998.89,
08/03/2023,1094.00,55.84,3109.96,
09/03/2023,1096.00,32.392,2676.787,
10/03/2023,1101.00,135.829,3021.104,
11/03/2023,1232.00,83.093,2910.034,
12/03/2023,1243.00,228.421,2276.935,
13/03/2023,1043.00,257.11,1888.19,
14/03/2023,1143.00,356.633,1488.338,
15/03/2023,1502.00,170.001,1488.338,
16/03/2023,1665.00,248.224,1188.449,
17/03/2023,1473.00,180.433,1621.622,
18/03/2023,1563.00,239.666,2077.009,
19/03/2023,1522.00,404.858,2454.647,
20/03/2023,1094.00,21.464,2487.968,
21/03/2023,1054.00,218.481,2421.326,
22/03/2023,1433.00,194.406,2321.363,
23/03/2023,1353.00,193.764,2432.433,
24/03/2023,1265.00,300.815,2543.503,
25/03/2023,1421.00,334.659,2332.47,
26/03/2023,1016.00,212.806,2521.289,
27/03/2023,1001.00,309.586,2810.071,
28/03/2023,953.00,121.774,2665.68,
29/03/2023,1110.00,23.938,2254.721,
30/03/2023,1173.00,210.908,2254.721,
31/03/2023,1235.00,141.237,2565.717,
01/04/2023,1834.00,154.112,2299.149,
02/04/2023,1733.00,249.33,2499.075,
03/04/2023,1687.00,564.1,2665.68,
04/04/2023,1709.00,604.665,2710.108,
05/04/2023,1958.00,207.816,2499.075,
06/04/2023,1760.00,419.347,2077.009,
07/04/2023,1395.00,586.715,2221.4,
08/04/2023,1393.00,568.977,2365.791,
09/04/2023,1502.00,466.862,2276.935,
10/04/2023,1606.00,355.214,2065.902,
11/04/2023,1925.00,200.98,2554.61,
12/04/2023,1801.00,379.256,2843.392,
13/04/2023,1739.00,482.65,2499.075,
14/04/2023,1992.00,148.088,2643.466,
15/04/2023,1572.00,505.641,2365.791,
16/04/2023,1793.00,229.323,2054.795,
17/04/2023,1860.00,382.431,1699.371,
18/04/2023,1790.00,468.212,2099.223,
19/04/2023,1837.00,406.772,1499.445,
20/04/2023,1559.00,665.141,1766.013,
21/04/2023,1900.00,434.008,2421.326,
22/04/2023,1916.00,385.413,2410.219,
23/04/2023,1804.00,361.13,2121.437,
24/04/2023,2074.00,477.958,2399.112,
25/04/2023,1957.00,680.334,2554.61,
26/04/2023,2201.00,323.605,2299.149,
27/04/2023,2433.00,120.351,2065.902,
28/04/2023,2165.00,374.714,1188.449,
29/04/2023,1837.00,484.654,1777.12,
30/04/2023,2068.00,281.796,2099.223,
01/05/2023,1932.00,445.42,1199.556,
02/05/2023,2106.00,565.475,1366.161,
03/05/2023,1875.00,689.481,1210.663,
04/05/2023,2308.00,340.49,1432.803,
05/05/2023,2349.00,333.063,1266.198,
06/05/2023,2405.00,63.331,1766.013,
07/05/2023,2059.00,484.372,1121.807,
08/05/2023,2462.00,134.623,1877.083,
09/05/2023,2452.00,391.734,1266.198,
10/05/2023,2268.00,447.608,1277.305,
11/05/2023,2381.00,459.761,1110.7,
12/05/2023,2239.00,449.792,1432.803,
13/05/2023,1732.00,641.823,1110.7,
14/05/2023,1870.00,594.247,1099.593,
15/05/2023,2175.00,597.016,1455.017,
16/05/2023,1993.00,706.985,1166.235,
17/05/2023,2115.00,572.114,910.774,
18/05/2023,2110.00,611.593,855.239,
19/05/2023,2145.00,400.685,966.309,
20/05/2023,1689.00,697.375,810.811,
21/05/2023,1728.00,693.418,755.276,
22/05/2023,1966.00,619.071,810.811,
23/05/2023,1929.00,522.146,655.313,
24/05/2023,1688.00,735.387,688.634,
25/05/2023,1502.00,615.408,322.103,
26/05/2023,1294.00,764.854,399.852,
27/05/2023,1272.00,745.709,510.922,
28/05/2023,1309.00,747.961,433.173,
29/05/2023,1296.00,775.092,277.675,
30/05/2023,1467.00,773.407,422.066,
31/05/2023,1527.00,671.137,133.284,
01/06/2023,1464.00,705.091,133.284,
02/06/2023,1338.00,667.377,133.284,
03/06/2023,1247.00,705.087,522.029,
04/06/2023,1214.00,748.826,111.07,
05/06/2023,1316.00,766.227,355.424,
06/06/2023,1302.00,763.963,455.387,
07/06/2023,1402.00,722.019,388.745,
08/06/2023,1436.00,750.25,122.177,
09/06/2023,1432.00,709.161,122.177,
10/06/2023,1683.00,444.141,111.07,
11/06/2023,1859.00,228.587,111.07,
12/06/2023,1451.00,658.191,133.284,
13/06/2023,1393.00,747.937,111.07,
14/06/2023,1382.00,760.686,122.177,
15/06/2023,1489.00,734.04,111.07,
16/06/2023,1401.00,727.317,122.177,
17/06/2023,1591.00,546.4,111.07,
18/06/2023,1644.00,361.298,111.07,
19/06/2023,1477.00,590.844,122.177,
20/06/2023,1578.00,458.469,122.177,
21/06/2023,1516.00,571.259,122.177,
22/06/2023,1519.00,557.565,111.07,
23/06/2023,1319.00,730.091,111.07,
24/06/2023,1349.00,691.687,122.177,
25/06/2023,1328.00,754.638,99.963,
26/06/2023,1508.00,527.989,111.07,
27/06/2023,1537.00,438.273,122.177,
28/06/2023,1654.00,450.325,111.07,
29/06/2023,1474.00,581.828,111.07,
30/06/2023,1655.00,205.046,122.177,
01/07/2023,1406.00,489.086,111.07,
02/07/2023,1415.00,431.042,111.07,
03/07/2023,1478.00,511.398,122.177,
04/07/2023,1729.00,236.095,122.177,
05/07/2023,1397.00,607.547,111.07,
06/07/2023,1424.00,631.854,133.284,
07/07/2023,1352.00,760.235,111.07,
08/07/2023,1828.00,280.817,99.963,
09/07/2023,1444.00,551.775,111.07,
10/07/2023,1559.00,440.261,122.177,
11/07/2023,1564.00,396.962,111.07,
12/07/2023,1357.00,684.529,122.177,
13/07/2023,1476.00,496.506,111.07,
14/07/2023,1693.00,89.975,122.177,
15/07/2023,1312.00,458.878,122.177,
16/07/2023,1124.00,655.763,111.07,
17/07/2023,1182.00,714.456,122.177,
18/07/2023,1463.00,570.758,111.07,
19/07/2023,1550.00,512.27,122.177,
20/07/2023,1435.00,592.255,111.07,
21/07/2023,1460.00,466.712,122.177,
22/07/2023,1602.00,198.723,111.07,
23/07/2023,1403.00,569.778,122.177,
24/07/2023,1644.00,292.453,122.177,
25/07/2023,1421.00,491.817,122.177,
26/07/2023,1459.00,466.475,111.07,
27/07/2023,1703.00,195.408,122.177,
28/07/2023,1554.00,458.455,122.177,
29/07/2023,1298.00,667.757,122.177,
30/07/2023,1605.00,213.308,122.177,
31/07/2023,1766.00,175.163,122.177,